Fiyat,Yil,Kilometre,Motor_Hacmi,Motor_Gucu,Marka,Vites_Tipi,Yakit_Tipi,Segment
1510000.0,2015,122000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1475000.0,2016,189000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1549058.0,2016,145000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1489000.0,2014,125000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1395000.0,2016,176000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1449000.0,2015,167000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1279000.0,2016,210000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1330000.0,2014,210000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1049000.0,2015,267000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1569000.0,2015,69900.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
1279000.0,2016,129000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1515000.0,2015,90000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1285000.0,2016,173000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
655000.0,2007,362896.0,2488.0,144.0,Nissan,Otomatik,Dizel,EKONOMIK
1400000.0,2024,33306.0,999.0,115.0,Nissan,Yarı Otomatik,Benzin,UST
1625000.0,2016,40000.0,1461.0,110.0,Nissan,Düz,Dizel,UST
1265000.0,2015,116000.0,1197.0,115.0,Nissan,Otomatik,Benzin,ORTA
1265000.0,2015,108000.0,1197.0,115.0,Nissan,Otomatik,Benzin,ORTA
585000.0,2010,336000.0,2488.0,144.0,Nissan,Düz,Dizel,EKONOMIK
595000.0,2011,265000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
1305000.0,2021,85000.0,999.0,115.0,Nissan,Yarı Otomatik,Benzin,UST
1399000.0,2015,158000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
665000.0,2011,278000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
1575000.0,2017,129000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1353000.0,2015,155000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1169000.0,2014,168000.0,1197.0,115.0,Nissan,Otomatik,Benzin,ORTA
1465000.0,2019,185000.0,1461.0,115.0,Nissan,Yarı Otomatik,Dizel,ORTA
1175000.0,2013,90000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
1048900.0,2016,288000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
2630000.0,2025,33910.0,1332.0,158.0,Nissan,Otomatik,Benzin,PREMIUM
1275000.0,2016,190000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
870000.0,2012,220000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
1375000.0,2014,190728.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1395000.0,2023,68000.0,999.0,115.0,Nissan,Yarı Otomatik,Benzin,UST
1495000.0,2024,33000.0,999.0,115.0,Nissan,Yarı Otomatik,Benzin,UST
1149000.0,2016,181000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1400000.0,2024,33306.0,999.0,115.0,Nissan,Yarı Otomatik,Benzin,UST
1625000.0,2016,40000.0,1461.0,110.0,Nissan,Düz,Dizel,UST
1265000.0,2015,116000.0,1197.0,115.0,Nissan,Otomatik,Benzin,ORTA
1265000.0,2015,108000.0,1197.0,115.0,Nissan,Otomatik,Benzin,ORTA
1260000.0,2015,123000.0,1197.0,115.0,Nissan,Otomatik,Benzin,ORTA
1200000.0,2015,126000.0,1197.0,115.0,Nissan,Otomatik,Benzin,ORTA
965000.0,2013,96800.0,1598.0,117.0,Nissan,Otomatik,Benzin,ORTA
1450000.0,2016,177000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1179900.0,2016,168000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
1560000.0,2020,89000.0,1332.0,160.0,Nissan,Yarı Otomatik,Benzin,PREMIUM
