Yil,Kilometre,Motor_Hacmi,Motor_Gucu,Tork,Hizlanma_0_100,Maks_Hiz,Uzunluk,Genislik,Yukseklik,Bos_Agirlik,Koltuk_Sayisi,Bagaj_Hacmi,Silindir_Sayisi,Ort_Kasko,Marka,Vites_Tipi,Yakit_Tipi,Kasa_Tipi,Cekis,Kimden,Fiyat,Tahmin_Fiyat,Gercek_Fiyat,Fark_TL,Fark_Pct,Durum
2013,195600.0,1461.0,110.0,,12.2,,4541.0,1780.0,1645.0,,7.0,,4.0,15761.0,Nissan,Düz,Dizel,SUV,Önden Çekiş,Galeriden,935000.0,957339,935000,-22339,-2.3,MAKUL
2023,31859.0,999.0,115.0,,11.8,,4210.0,1800.0,1595.0,,5.0,,3.0,11957.0,Nissan,Yarı Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,1479500.0,1482241,1479500,-2741,-0.2,MAKUL
2017,172000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Dizel,SUV,Önden Çekiş,Galeriden,1195000.0,1389549,1195000,-194549,-14.0,FIRSAT
2016,97000.0,1197.0,115.0,,12.9,,4379.0,1800.0,1590.0,,5.0,,4.0,17977.0,Nissan,Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,1370000.0,1371112,1370000,-1112,-0.1,MAKUL
2024,31000.0,999.0,115.0,,11.8,,4210.0,1800.0,1595.0,,5.0,,3.0,11957.0,Nissan,Yarı Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,1469000.0,1470955,1469000,-1955,-0.1,MAKUL
2012,82000.0,1598.0,117.0,,11.5,,4135.0,1765.0,1570.0,,5.0,,4.0,14518.0,Nissan,Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,952000.0,952066,952000,-66,-0.0,MAKUL
2015,256000.0,1598.0,130.0,,10.7,,4379.0,1800.0,1590.0,,5.0,,4.0,17977.0,Nissan,Otomatik,Dizel,SUV,Önden Çekiş,Galeriden,1060000.0,1090721,1060000,-30721,-2.8,MAKUL
2012,135000.0,1461.0,106.0,,12.2,,4315.0,1780.0,1615.0,,5.0,,4.0,13348.0,Nissan,Düz,Dizel,SUV,Önden Çekiş,Galeriden,949000.0,976799,949000,-27799,-2.8,MAKUL
1999,425000.0,2494.0,83.0,,18.7,,4975.0,1690.0,1610.0,,5.0,,4.0,15946.0,Nissan,Düz,Dizel,Hard top,4WD (Sürekli),Galeriden,380000.0,380428,380000,-428,-0.1,MAKUL
2023,25000.0,1497.0,190.0,,7.9,,4425.0,1835.0,1625.0,,5.0,,3.0,16769.0,Nissan,Otomatik,Hibrit,SUV,Önden Çekiş,Galeriden,1999999.0,2050813,1999999,-50814,-2.5,MAKUL
2014,167000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Düz,Dizel,Crossover,Önden Çekiş,Galeriden,849950.0,876090,849950,-26140,-3.0,MAKUL
2020,24000.0,999.0,115.0,,11.8,,4210.0,1800.0,1595.0,,5.0,,3.0,11957.0,Nissan,Yarı Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,1399900.0,1413743,1399900,-13843,-1.0,MAKUL
2016,152000.0,1598.0,130.0,,10.7,,4379.0,1800.0,1590.0,,5.0,,4.0,17538.0,Nissan,Otomatik,Dizel,SUV,Önden Çekiş,Galeriden,1445000.0,1385207,1445000,59792,4.3,MAKUL
2024,13000.0,1591.0,130.0,,11.5,,4394.0,1806.0,1615.0,,5.0,,4.0,15946.0,Nissan,Otomatik,Benzin,SUV,Önden Çekiş,Galeriden,2298000.0,2250226,2298000,47773,2.1,MAKUL
